T,MU_PARAM_C1,MU_PARAM_C2,MU_PARAM_C3,MU_PARAM_OBJ,MU_PARAM_I1,MU_PARAM_I2,MU_PARAM_I3,MU_PARAM_P1,MU_PARAM_P2
187.64,2.00363,4.00821,0.861454,12.2522,3.21038,4.95701,1.56706,3.40691,5.34334
190.666,2.00438,4.00942,0.852965,12.2952,3.08848,5.12957,1.73543,3.45459,5.50691
193.693,2.00398,4.01076,0.860187,12.2037,3.20233,5.44344,1.27214,2.57602,5.65742
196.719,2.00361,3.99359,0.851183,12.2212,3.20394,5.09049,1.69075,2.91778,5.06484
199.745,2.00597,3.99563,0.849904,12.197,3.14078,5.07303,1.4801,3.44562,5.10422
202.772,2.00347,3.99894,0.861557,12.2152,3.21155,4.55503,1.28086,2.9615,4.70972
205.798,2.00377,4.01185,0.855943,12.1799,3.14838,4.85297,1.4199,3.4084,4.65647
208.825,2.0042,4.01143,0.853024,12.242,3.19552,4.56128,1.35193,2.53309,5.41122
211.851,2.00461,4.01179,0.849542,12.2317,3.19692,5.03764,1.27173,3.18189,5.24421
214.877,2.00638,4.00676,0.849523,12.2072,3.20389,5.10085,1.37949,3.04283,5.60974
217.904,2.00735,4.00794,0.857685,12.2688,3.15452,4.76731,1.70393,3.40737,5.07207
220.93,2.00384,3.98519,0.853069,12.3107,3.13291,4.83519,1.44596,3.29096,5.57828
223.956,2.00379,4.00175,0.855259,12.3117,3.11904,5.15613,1.26722,3.47612,5.25525
226.983,2.00332,3.98565,0.852977,12.3005,3.21122,5.11467,1.26413,2.68977,5.4004
230.009,2.00745,4.01204,0.856152,12.3225,3.22473,4.66404,1.58954,2.68368,5.57891
233.035,2.00538,4.01318,0.853569,12.3066,3.2097,4.74493,1.74297,3.43769,5.67866
236.062,2.0049,4.01326,0.852663,12.2381,3.15599,5.44596,1.62763,2.79275,5.49509
239.088,2.00427,4.00444,0.850879,12.3024,3.09397,5.39925,1.64454,3.3755,4.70787
242.114,2.00703,4.0076,0.861939,12.2834,3.20032,5.11714,1.43935,2.8385,5.40638
245.141,2.00492,3.98608,0.854627,12.2227,3.1916,4.59159,1.60869,3.12649,5.68316
248.167,2.00743,3.99908,0.849371,12.2399,3.16356,5.00216,1.70046,3.29105,5.18097
251.194,2.00598,4.01069,0.85507,12.199,3.19109,5.33537,1.70292,3.40871,4.95279
254.22,2.00703,4,0.86137,12.2334,3.15643,5.43763,1.41113,2.93969,4.9821
257.246,2.00427,3.99238,0.854365,12.1818,3.17508,4.70023,1.5669,3.16441,4.98101
260.273,2.00373,3.99799,0.85038,12.2857,3.11112,4.94897,1.3674,2.84132,5.43329
263.299,2.00505,3.99868,0.856049,12.1827,3.12311,4.72621,1.61399,2.52662,5.65707
266.325,2.00353,3.98527,0.853553,12.2951,3.18829,4.57656,1.30244,3.17657,5.7001
269.352,2.00491,4.00827,0.852757,12.2615,3.14689,4.50081,1.31265,2.85343,5.74929
272.378,2.00468,4.00887,0.856585,12.2673,3.19875,5.28066,1.54604,2.77427,5.69766
275.404,2.00425,3.99937,0.856521,12.2428,3.1394,4.92661,1.52155,2.89248,5.58637
278.431,2.00261,4.0128,0.856431,12.1821,3.08271,4.60775,1.42,2.80924,4.7532
281.457,2.0068,3.99191,0.852729,12.2433,3.18402,4.72743,1.58306,2.90955,5.71753
284.483,2.00435,4.00311,0.861226,12.2628,3.21428,4.7782,1.44258,3.23108,5.09365
287.51,2.00257,4.00329,0.858274,12.2389,3.1895,4.9535,1.55477,2.70809,5.56797
290.536,2.00381,4.00183,0.861319,12.3167,3.18173,4.88798,1.41726,3.139,4.76694
293.563,2.00678,3.98611,0.847604,12.2139,3.11788,5.21589,1.59899,3.26777,5.17633
296.589,2.00514,4.01216,0.854664,12.2841,3.18176,5.45468,1.39838,3.49308,4.80585
299.615,2.00265,4.00237,0.857094,12.2,3.1496,4.96854,1.63838,2.84217,4.69065
317.65,2.00342,4.0115,0.851978,12.263,3.07676,4.6406,1.25647,2.8,5.68761
320.675,2.0058,3.98642,0.855251,12.3191,3.12194,4.99838,1.48262,2.641,4.70479
323.701,2.00355,4.01004,0.850178,12.3018,3.14051,5.21211,1.51511,2.9197,4.72857
326.728,2.00691,4.00393,0.858551,12.2798,3.19281,5.42035,1.41461,2.84342,5.36571
329.754,2.00344,4.00228,0.847946,12.2937,3.15723,4.64698,1.25699,2.7506,5.04262
332.78,2.00556,3.99496,0.850479,12.2001,3.10955,5.4267,1.47847,3.06536,5.05515
335.807,2.00306,3.98824,0.861794,12.3164,3.15707,4.68284,1.59035,3.02134,5.10927
338.833,2.00719,3.98508,0.859549,12.3043,3.11798,4.55329,1.30401,3.22765,5.30549
341.859,2.00624,3.99058,0.857632,12.1834,3.21153,4.93447,1.38866,2.91971,4.63426
344.886,2.00599,3.9936,0.850035,12.2196,3.11718,4.72941,1.58428,2.62748,5.74831
347.912,2.00283,4.01137,0.849099,12.2066,3.21515,4.73568,1.25361,3.17449,4.97108
350.938,2.00591,4.0084,0.860511,12.2101,3.17438,5.06571,1.48474,3.37842,5.821
353.965,2.00484,3.99085,0.856204,12.2596,3.21145,4.50629,1.73699,2.52858,5.13877
356.991,2.00605,3.98713,0.856793,12.1921,3.10928,5.02976,1.48905,2.77035,5.57266
360.018,2.00381,4.00057,0.847701,12.2134,3.22067,4.51977,1.53396,2.59478,5.19428
363.044,2.00588,4.00574,0.854611,12.1919,3.10814,5.31591,1.74067,2.62833,5.12261
366.07,2.00286,4.0028,0.849946,12.2663,3.16068,5.02447,1.53136,3.39131,5.50124
369.097,2.00442,3.985,0.861295,12.3163,3.1434,4.85983,1.67658,3.10115,5.08902
372.123,2.0053,3.99279,0.848554,12.232,3.08673,4.59585,1.6622,2.61252,5.41814
375.149,2.00367,4.00832,0.860195,12.2288,3.08973,4.65395,1.73311,2.85566,5.21741
378.176,2.00353,4.00641,0.851901,12.2881,3.16504,5.2178,1.59532,3.07658,4.89803
381.202,2.00297,4.00843,0.861206,12.1948,3.1126,5.25761,1.47804,3.11296,5.63068
384.228,2.00502,3.99295,0.848328,12.2574,3.20143,5.3375,1.392,3.19804,5.21322
387.255,2.00666,3.98863,0.86166,12.2075,3.19654,4.8295,1.71436,2.98987,5.35066
390.281,2.00343,4.00701,0.853672,12.2146,3.08202,4.77806,1.4338,2.92627,5.80966
393.308,2.00305,4.00793,0.849972,12.2164,3.1779,4.9491,1.40949,2.5979,5.30755
396.334,2.00723,3.99047,0.86001,12.1793,3.22397,5.38883,1.70634,2.84688,4.83839
399.36,2.00686,3.99712,0.860551,12.1771,3.11298,5.30988,1.73016,2.95844,5.58171
402.387,2.00744,4.00887,0.861736,12.2007,3.22142,4.80763,1.66899,3.42344,5.43873
405.413,2.00578,3.98847,0.858521,12.1926,3.15317,5.40671,1.57097,2.70144,5.6764
408.439,2.00685,4.00307,0.855326,12.2826,3.22285,4.66198,1.59248,2.63365,4.9647
411.466,2.00434,3.99502,0.850835,12.2596,3.18205,5.2111,1.43753,2.82555,5.72335
414.492,2.00513,3.99365,0.852785,12.3053,3.21707,4.51033,1.70737,3.29733,5.11029
417.518,2.00659,3.99197,0.853829,12.1901,3.1637,4.90081,1.71971,3.28635,5.36816
420.545,2.00735,4.00051,0.85775,12.3183,3.13437,5.04593,1.41167,3.28775,4.89494
423.571,2.00311,3.99463,0.860395,12.3208,3.09576,4.89379,1.29031,3.25699,5.49392
426.598,2.00591,3.98572,0.850022,12.2959,3.21773,4.79643,1.65674,3.0136,5.01269
429.624,2.00419,4.0057,0.856543,12.2816,3.13777,4.83309,1.35369,3.38787,5.1752
432.65,2.00276,3.99109,0.858309,12.282,3.11503,4.61733,1.70934,2.84489,4.8449
435.677,2.003,4.014,0.858206,12.2606,3.11378,4.73317,1.44691,3.41866,5.44615
438.703,2.00638,4.00381,0.850443,12.3197,3.0826,5.23405,1.54424,3.28855,5.02149
441.729,2.00467,3.99814,0.84888,12.3089,3.15644,4.51564,1.27208,2.87928,5.57129
444.756,2.00717,4.01442,0.858321,12.2613,3.15515,4.79274,1.46532,2.6816,5.0211
447.782,2.00656,4.01435,0.849258,12.1778,3.08315,5.34634,1.64316,2.93515,5.42268
450.808,2.0074,4.0027,0.856552,12.2741,3.12361,5.13131,1.73123,2.95174,4.81153
453.835,2.00429,4.01359,0.855957,12.2825,3.14483,4.80485,1.3988,2.55637,5.72646
456.861,2.00386,3.99089,0.849092,12.1992,3.17785,4.57331,1.38791,2.67887,4.95204
459.887,2.00478,4.00043,0.858417,12.2852,3.12911,4.99245,1.72104,3.04826,4.94144
462.914,2.00727,3.99679,0.855163,12.3178,3.17429,5.43109,1.30831,2.52173,5.17744
465.94,2.00429,4.0096,0.860449,12.2385,3.09073,4.79722,1.36329,2.82277,4.73154
468.966,2.00553,4.0046,0.859407,12.2919,3.14732,5.48005,1.39011,2.86209,5.51629
471.993,2.00681,4.00657,0.860221,12.195,3.08046,4.58075,1.70677,2.66221,4.79771
475.019,2.0031,4.0087,0.849465,12.1936,3.13385,5.33762,1.32901,2.75902,4.80488
478.046,2.00717,4.01495,0.861907,12.3231,3.15779,4.7918,1.46859,3.2978,5.24667
481.072,2.00662,3.99695,0.857425,12.1893,3.08947,5.00376,1.70344,3.42132,5.67629
484.098,2.00631,4.00322,0.848778,12.2048,3.10504,4.71076,1.34373,2.94737,4.63808
487.124,2.00456,3.99769,0.85739,12.192,3.17032,5.4392,1.48563,3.17501,4.62094
490.151,2.00729,4.00802,0.854456,12.2219,3.18168,4.80074,1.58699,3.23623,5.34794
493.177,2.00715,3.99926,0.859978,12.3195,3.1811,4.82812,1.37549,3.37038,5.16169
496.204,2.00389,3.99689,0.848184,12.2478,3.18789,4.99832,1.67509,2.91153,5.03055
499.23,2.00429,4.00577,0.853933,12.1998,3.15614,4.9301,1.48432,3.00147,5.41549
502.256,2.003,4.01301,0.861639,12.1839,3.18269,5.41953,1.72296,2.53914,5.66574
505.283,2.00714,4.00391,0.851971,12.2884,3.08707,4.76657,1.39186,3.39888,5.52932
508.309,2.00484,3.99067,0.855066,12.2595,3.17765,4.80393,1.30725,2.73246,5.52153
511.335,2.00259,4.00723,0.850672,12.2388,3.09985,4.89122,1.49513,3.35107,4.86721
514.362,2.00599,4.00287,0.862101,12.2527,3.09571,5.14158,1.68767,2.95547,5.3042
517.388,2.0048,4.01128,0.862079,12.3131,3.1622,4.92166,1.32592,2.79483,5.3211
520.414,2.0043,3.99558,0.861195,12.3021,3.22371,5.25146,1.64366,2.73448,5.55421
523.441,2.00588,3.99041,0.84897,12.2075,3.22188,5.0444,1.40613,2.90318,4.96882
526.467,2.00343,4.00487,0.860181,12.1809,3.21928,4.53826,1.25494,2.98576,4.67155
529.494,2.00327,3.99373,0.858627,12.2032,3.21252,5.158,1.32888,3.43896,4.76626
532.52,2.00672,4.00166,0.856803,12.2404,3.20065,4.88871,1.38419,2.95154,5.65252
535.546,2.00436,3.99003,0.849681,12.2713,3.10844,4.50208,1.70483,2.85924,5.27808
538.573,2.00376,3.99443,0.849795,12.2189,3.08164,5.02477,1.36276,2.77731,5.48174
541.599,2.00679,4.01305,0.850474,12.2256,3.1089,4.7063,1.72507,2.80247,5.46274
